"pha","H","e","a","q","i","moid"
N,10.38,0.2228,1.458,1.133,10.83,0.148
N,15.59,0.5466,2.637,1.195,11.57,0.201
N,13.81,0.5712,2.474,1.061,9.40,0.0797
N,9.18,0.5332,2.665,1.244,26.68,0.343
N,17.37,0.4346,1.92,1.085,11.87,0.108
Y,16.53,0.8270,1.078,0.186,22.80,0.0335
N,14.55,0.4876,2.195,1.125,52.19,0.132
Y,15.26,0.3355,1.246,0.828,13.34,0.0294
N,12.79,0.3973,1.863,1.123,8.46,0.109
N,14.28,0.4360,1.368,0.771,9.38,0.0511
Y,16.08,0.5599,1.471,0.647,6.35,0.026
N,15.46,0.6063,2.26,0.890,18.38,0.187
N,14.84,0.6144,1.461,0.563,22.22,0.269
N,16.78,0.4669,1.08,0.576,16.10,0.157
N,12.48,0.5381,1.893,0.875,41.21,0.104
N,18.38,0.5702,2.545,1.094,20.40,0.109
N,14.93,0.4492,2.273,1.252,12.88,0.252
N,14.38,0.5055,2.149,1.063,23.96,0.0717
N,15.70,0.2559,1.431,1.064,8.71,0.0609
N,13.81,0.3647,1.709,1.086,26.87,0.245
Y,15.27,0.6505,1.776,0.621,39.82,0.00277
N,15.98,0.5316,2.642,1.237,11.02,0.245
N,16.70,0.5356,2.265,1.052,3.80,0.0558
N,17.11,0.1829,0.967,0.790,18.94,0.113
N,17.21,0.3494,1.078,0.701,9.43,0.0667
N,16.24,0.4365,0.832,0.469,15.76,0.15
Y,18.69,0.7641,1.874,0.442,1.32,0.0115
Y,16.00,0.2994,1.29,0.904,64.01,0.0426
Y,18.05,0.5031,1.6,0.795,23.07,0.00853
Y,15.32,0.7107,2.179,0.630,2.52,0.00278
N,16.98,0.5129,2.291,1.116,8.74,0.143
N,13.49,0.8347,2.168,0.358,11.20,0.112
N,14.58,0.6533,2.411,0.836,24.46,0.0936
Y,20.43,0.4499,0.8439,0.464,5.86,0.00663
N,15.15,0.4134,2.105,1.235,5.22,0.231
N,17.48,0.5647,2.53,1.102,14.43,0.153
N,16.16,0.4492,2.151,1.185,8.44,0.183
N,15.30,0.3542,1.404,0.907,20.93,0.0786
Y,14.08,0.4232,1.769,1.020,22.14,0.0436
N,14.99,0.2841,1.575,1.127,32.96,0.215
Y,14.39,0.8897,1.271,0.140,22.31,0.0187
N,16.57,0.3955,2.102,1.270,25.07,0.276
N,15.34,0.4545,2.034,1.110,5.93,0.105
N,15.93,0.3691,1.879,1.185,4.77,0.202
N,16.04,0.7474,2.466,0.623,21.07,0.11
Y,19.54,0.3232,1.21,0.819,2.65,0.0146
Y,18.52,0.4685,0.9895,0.526,9.92,0.013
N,16.72,0.4868,2.093,1.074,9.51,0.0749
N,13.04,0.7073,4.27,1.250,31.05,0.342
N,16.40,0.3200,1.645,1.118,36.77,0.293
N,15.91,0.2806,0.974,0.701,23.36,0.25
Y,16.49,0.5438,2.197,1.002,13.53,0.015
N,14.93,0.2845,1.774,1.270,20.35,0.35
N,15.14,0.3015,1.414,0.987,55.56,0.0778
N,15.42,0.5149,0.9978,0.484,19.80,0.0703
Y,19.01,0.4459,1.835,1.017,3.87,0.0366
N,15.62,0.7027,1.505,0.447,29.20,0.159
N,17.45,0.4590,1.928,1.043,2.19,0.0567
N,17.94,0.3167,1.545,1.055,10.77,0.177
Y,16.19,0.6309,2.626,0.969,2.80,0.043
Y,18.49,0.4440,1.059,0.589,11.17,0.0191
N,14.92,0.3260,1.82,1.227,23.25,0.239
Y,15.29,0.6247,2.543,0.954,0.45,0.00651
Y,14.16,0.6362,1.981,0.721,6.67,0.0284
N,14.97,0.7725,2.295,0.522,12.60,0.0985
N,15.98,0.4684,1.647,0.876,40.72,0.169
N,16.08,0.6801,1.834,0.587,11.84,0.194
N,16.12,0.5634,2.584,1.128,26.62,0.335
Y,17.27,0.5866,1.442,0.596,5.52,0.0287
Y,15.61,0.6600,2.206,0.750,3.03,0.0459
N,17.48,0.2965,1.73,1.217,16.41,0.219
N,15.82,0.5248,2.704,1.285,2.51,0.304
N,17.37,0.2501,1.042,0.781,14.14,0.173
Y,20.74,0.3569,1.023,0.658,4.92,0.00385
N,16.45,0.5200,2.239,1.075,37.07,0.296
Y,18.75,0.3588,1.485,0.952,1.45,0.00416
N,19.60,0.5179,2.233,1.077,6.37,0.108
Y,17.40,0.4832,1.063,0.549,8.89,0.0203
N,18.09,0.1684,1.37,1.139,15.65,0.15
Y,14.88,0.6575,1.621,0.555,24.38,0.0245
N,12.56,0.4494,2.001,1.102,17.43,0.194
N,15.05,0.2188,1.565,1.223,35.01,0.425
Y,16.65,0.5002,1.636,0.818,7.41,0.0241
N,14.83,0.5689,1.486,0.641,36.45,0.276
N,14.05,0.7712,1.835,0.420,8.98,0.0575
Y,17.84,0.4782,1.552,0.810,3.58,0.0448
N,15.35,0.6063,2.979,1.173,19.66,0.223
N,14.96,0.4556,2.163,1.178,25.52,0.305
N,15.23,0.6370,3.318,1.205,19.17,0.212
N,16.72,0.2964,0.9474,0.667,48.97,0.111
